ORIGID,CountyName,Covid Density,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,SHAPE_Length,SHAPE_Area
18,Monaghan,Medium,61386,11/5/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,1148,1870.133255,,,392803.0473,3768943157
19,Offaly,Medium,77961,11/5/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,1051,1348.109952,,,561440.3786,5558826350
20,Roscommon,Medium,64544,11/5/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,817,1265.803173,,,622494.1546,7278743876
21,Sligo,Medium,65535,11/5/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,670,1022.354467,,,682286.8703,5348370378
22,Tipperary,Low,159553,11/5/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,1270,795.9737517,,,781276.5797,11551196729
23,Waterford,Low,116176,11/5/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,792,681.7242804,,,643184.904,4848379555
24,Westmeath,Medium,88770,11/5/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,1448,1631.181706,,,422669.3327,5208705730
25,Wexford,Low,149722,11/5/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,1120,748.0530583,,,589324.4767,6332221063
26,Wicklow,Low,142425,11/5/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,1333,935.9311919,,,427539.1986,5580728579
1,Carlow,Medium,56932,11/6/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,567,995.9249631,,,319348.5725,2432351721
2,Cavan,High,76176,11/6/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,2089,2742.333543,,,515954.4965,5575009911
3,Clare,Medium,118817,11/6/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,1364,1147.983874,,,1013948.95,8722541706
4,Cork,Medium,542868,11/6/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,5787,1066.004996,,,2129949.409,19529490886
